Feature_ID,Accession,Has_Contaminant_Flag,All_Reverse_Flag,Cow_Contaminant_Flag,Accession_RNA,Accession_Protein,GeneID,Symbol,Alias,Type,Location,Description
2327,NP_001308924.1,0,0,0,NM_001321995,NP_001308924,64969,MRPS5,MRP-S5 S5mt,protein-coding,2q11.1,mitochondrial ribosomal protein S5
2328,NP_066923.3,0,0,0,NM_021100,NP_066923,9054,NFS1,HUSSY-08 IscS NIFS,protein-coding,20q11.22,"NFS1, cysteine desulfurase"
2329,XP_016856960.1,0,0,0,XM_017001471,XP_016856960,51742,ARID4B,BCAA BRCAA1 RBBP1L1 RBP1L1 SAP180,protein-coding,1q42.3,AT-rich interaction domain 4B
2330,NP_001231800.1;NP_001334.2,0,0,0,NM_001244871 NM_001343,NP_001231800 NP_001334,1601,DAB2,DOC-2 DOC2,protein-coding,5p13.1,"DAB2, clathrin adaptor protein"
2331,NP_001273990.1;NP_001273991.1;NP_055319.1,0,0,0,NM_001287061 NM_001287062 NM_014504,NP_001273990 NP_001273991 NP_055319,27342,RABGEF1,RABEX5 RAP1 rabex-5,protein-coding,7q11.21,RAB guanine nucleotide exchange factor 1
2332,NP_775878.2;NP_001072987.1;NP_001275951.1,0,0,0,NM_001079519 NM_001289022 NM_173607,NP_001072987 NP_001275951 NP_775878,283635,FAM177A1,C14orf24,protein-coding,14q13.2,family with sequence similarity 177 member A1
2333,NP_001889.2,0,0,0,NM_001898,NP_001889,1469,CST1,---,protein-coding,20p11.21,cystatin SN
2334,NP_001290181.1;NP_002960.2,0,0,0,NM_001303252 NM_002969,NP_001290181 NP_002960,6300,MAPK12,ERK-6 ERK3 ERK6 MAPK-12 P38GAMMA PRKM12 SAPK-3 SAPK3,protein-coding,22q13.33,mitogen-activated protein kinase 12
2335,NP_001311308.1;NP_001311303.1;NP_001311306.1;NP_001311307.1;XP_016878933.1;NP_060818.4;NP_001093112.1;XP_011521530.1;XP_011521531.1,0,0,0,NM_001099642 NM_001324374 NM_001324377 NM_001324378 NM_001324379 NM_018348 XM_011523228 XM_011523229 XM_017023444,NP_001093112 NP_001311303 NP_001311306 NP_001311307 NP_001311308 NP_060818 XP_011521530 XP_011521531 XP_016878933,55783,CMTR2,AFT FTSJD1 HMTr2 MTr2,protein-coding,16q22.2,cap methyltransferase 2
2336,XP_005256523.1;NP_001275715.1,0,0,0,NM_001288786 XM_005256466,NP_001275715 XP_005256523,146691,TOM1L2,---,protein-coding,17p11.2,target of myb1 like 2 membrane trafficking protein
2337,NP_001289546.1;NP_001098.1;NP_001289545.1,0,0,0,NM_001107 NM_001302616 NM_001302617,NP_001098 NP_001289545 NP_001289546,97,ACYP1,ACYPE,protein-coding,14q24.3,acylphosphatase 1
2338,NP_002379.3,0,0,0,NM_002388,NP_002379,4172,MCM3,HCC5 P1-MCM3 P1.h RLFB,protein-coding,6p12.2,minichromosome maintenance complex component 3
2339,NP_004840.1;NP_001273035.1,0,0,0,NM_001286106 NM_004849,NP_001273035 NP_004840,9474,ATG5,APG5 APG5-LIKE APG5L ASP hAPG5,protein-coding,6q21,autophagy related 5
2340,NP_444283.2;XP_011507444.1,0,0,0,NM_053055 XM_011509142,NP_444283 XP_011507444,117145,THEM4,CTMP,protein-coding,1q21.3,thioesterase superfamily member 4
2341,NP_001258680.1;NP_005786.1,0,0,0,NM_001271751 NM_005795,NP_001258680 NP_005786,10203,CALCRL,CGRPR CRLR,protein-coding,2q32.1,calcitonin receptor like receptor
2342,XP_016883804.1,0,0,0,XM_017028315,XP_016883804,25966,C2CD2,C21orf25 C21orf258 TMEM24L,protein-coding,21q22.3,C2 calcium dependent domain containing 2
2343,XP_016876609.1;XP_016876610.1;NP_085124.2;NP_803187.1;NP_001258211.1;NP_001278557.1;XP_011534901.1;XP_011534902.1;XP_011534903.1;XP_011534904.1,0,0,0,NM_001271282 NM_001291628 NM_030621 NM_177438 XM_011536599 XM_011536600 XM_011536601 XM_011536602 XM_017021120 XM_017021121,NP_001258211 NP_001278557 NP_085124 NP_803187 XP_011534901 XP_011534902 XP_011534903 XP_011534904 XP_016876609 XP_016876610,23405,DICER1,DCR1 Dicer Dicer1e HERNA K12H4.8-LIKE MNG1 RMSE2,protein-coding,14q32.13,"dicer 1, ribonuclease III"
2344,NP_001035526.1,0,0,0,NM_001040436,NP_001035526,51067,YARS2,CGI-04 MLASA2 MT-TYRRS TYRRS,protein-coding,12p11.21,tyrosyl-tRNA synthetase 2
2345,XP_016877527.1,0,0,0,XM_017022038,XP_016877527,23339,VPS39,TLP VAM6 hVam6p,protein-coding,15q15.1,"VPS39, HOPS complex subunit"
2346,XP_005271385.1;XP_011540723.1;XP_016858292.1;XP_011540725.1,0,0,0,XM_005271328 XM_011542421 XM_011542423 XM_017002803,XP_005271385 XP_011540723 XP_011540725 XP_016858292,9202,ZMYM4,CDIR MYM ZNF198L3 ZNF262,protein-coding,1p34.3,zinc finger MYM-type containing 4
2347,NP_005919.2,0,0,0,NM_005928,NP_005919,4240,MFGE8,BA46 EDIL1 HMFG HsT19888 MFG-E8 MFGM OAcGD3S SED1 SPAG10 hP47,protein-coding,15q26.1,milk fat globule-EGF factor 8 protein
2348,NP_001300901.1,0,0,0,NM_001313972,NP_001300901,10628,TXNIP,ARRDC6 EST01027 HHCPA78 THIF VDUP1,protein-coding,1q21.1,thioredoxin interacting protein
2349,NP_003878.1;NP_001128663.1,0,0,0,NM_001135191 NM_003887,NP_001128663 NP_003878,8853,ASAP2,AMAP2 CENTB3 DDEF2 PAG3 PAP Pap-alpha SHAG1,protein-coding,2p25.1|2p24,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"
2350,NP_004095.4;XP_011521840.1,0,0,0,NM_004104 XM_011523538,NP_004095 XP_011521840,2194,FASN,FAS OA-519 SDR27X1,protein-coding,17q25.3,fatty acid synthase
2351,NP_005550.2;XP_011523957.1,0,0,0,NM_005559 XM_011525655,NP_005550 XP_011523957,284217,LAMA1,LAMA PTBHS S-LAM-alpha,protein-coding,18p11.31,laminin subunit alpha 1
2352,XP_011510725.1;XP_011510726.1;XP_016861200.1;XP_016861201.1;XP_016861202.1;XP_016861203.1;XP_016861204.1;NP_001096078.1;XP_005247178.1;XP_011510727.1;XP_011510728.1;XP_011510730.1,0,0,0,NM_001102608 XM_005247121 XM_011512423 XM_011512424 XM_011512425 XM_011512426 XM_011512428 XM_017005711 XM_017005712 XM_017005713 XM_017005714 XM_017005715,NP_001096078 XP_005247178 XP_011510725 XP_011510726 XP_011510727 XP_011510728 XP_011510730 XP_016861200 XP_016861201 XP_016861202 XP_016861203 XP_016861204,131873,COL6A6,---,protein-coding,3q22.1,collagen type VI alpha 6 chain
2353,XP_016876590.1;XP_011534876.1;XP_011534877.1;XP_011534878.1;XP_011534879.1;XP_011534880.1;XP_011534881.1;XP_011534882.1;XP_005267511.1;XP_005267513.1;XP_005267514.1;NP_878918.2;XP_011534883.1;XP_005267515.1;NP_055995.4;XP_005267516.1;XP_011534884.1;XP_016876591.1,0,0,0,NM_015180 NM_182914 XM_005267454 XM_005267456 XM_005267457 XM_005267458 XM_005267459 XM_011536574 XM_011536575 XM_011536576 XM_011536577 XM_011536578 XM_011536579 XM_011536580 XM_011536581 XM_011536582 XM_017021101 XM_017021102,NP_055995 NP_878918 XP_005267511 XP_005267513 XP_005267514 XP_005267515 XP_005267516 XP_011534876 XP_011534877 XP_011534878 XP_011534879 XP_011534880 XP_011534881 XP_011534882 XP_011534883 XP_011534884 XP_016876590 XP_016876591,23224,SYNE2,EDMD5 KASH2 NUA NUANCE Nesp2 Nesprin-2 SYNE-2 TROPH,protein-coding,14q23.2,spectrin repeat containing nuclear envelope protein 2
2354,XP_005268185.1;NP_115728.2;XP_016877192.1;XP_006720337.1;XP_016877193.1;XP_016877194.1;XP_006720338.1,0,0,0,NM_032352 XM_005268128 XM_006720274 XM_006720275 XM_017021703 XM_017021704 XM_017021705,NP_115728 XP_005268185 XP_006720337 XP_006720338 XP_016877192 XP_016877193 XP_016877194,84312,BRMS1L,BRMS1,protein-coding,14q13.2,breast cancer metastasis-suppressor 1 like
2355,XP_016862676.1;NP_001186130.1,0,0,0,NM_001199201 XM_017007187,NP_001186130 XP_016862676,79740,ZBBX,---,protein-coding,3q26.1,zinc finger B-box domain containing
2356,NP_060758.2,0,0,0,NM_018288,NP_060758,55274,PHF10,BAF45A XAP135,protein-coding,6q27,PHD finger protein 10
2357,NP_001957.2,0,0,0,NM_001966,NP_001957,1962,EHHADH,ECHD FRTS3 L-PBE LBFP LBP PBFE,protein-coding,3q27.2,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase
2358,NP_001182029.1;XP_005271288.1;NP_536316.1,0,0,0,NM_001195100 NM_080391 XM_005271231,NP_001182029 NP_536316 XP_005271288,8073,PTP4A2,HH13 HH7-2 HU-PP-1 OV-1 PRL-2 PRL2 PTP4A PTPCAAX2 ptp-IV1a ptp-IV1b,protein-coding,1p35.2,"protein tyrosine phosphatase type IVA, member 2"
2359,XP_005256536.1;XP_005256537.1,0,0,0,XM_005256479 XM_005256480,XP_005256536 XP_005256537,147166,TRIM16L,TRIM70,protein-coding,17p11.2,tripartite motif containing 16 like
2360,XP_011531742.1,0,0,0,XM_011533440,XP_011531742,166336,PRICKLE2,EPM5,protein-coding,3p14.1,prickle planar cell polarity protein 2
2361,NP_002848.1;NP_001180573.1,0,0,0,NM_001193644 NM_002857,NP_001180573 NP_002848,5824,PEX19,D1S2223E HK33 PBD12A PMP1 PMPI PXF PXMP1,protein-coding,1q23.2,peroxisomal biogenesis factor 19
2362,NP_009039.1,0,0,0,NM_007108,NP_009039,6923,ELOB,SIII TCEB2,protein-coding,16p13.3,elongin B
2363,NP_006640.2,0,0,0,NM_006649,NP_006640,10813,UTP14A,NYCO16 SDCCAG16 dJ537K23.3,protein-coding,Xq26.1,UTP14A small subunit processome component
2364,NP_003343.1;NP_001005781.1,0,0,0,NM_001005781 NM_003352,NP_001005781 NP_003343,7341,SUMO1,DAP1 GMP1 OFC10 PIC1 SENP2 SMT3 SMT3C SMT3H3 UBL1,protein-coding,2q33.1,small ubiquitin-like modifier 1
2365,REV__NP_001137452.1,0,2,0,---,---,---,---,---,---,---,---
2366,NP_776215.1;XP_005263718.1;XP_011509423.1;NP_001305843.1,0,0,0,NM_001318914 NM_173843 XM_005263661 XM_011511121,NP_001305843 NP_776215 XP_005263718 XP_011509423,3557,IL1RN,DIRA ICIL-1RA IL-1RN IL-1ra IL-1ra3 IL1F3 IL1RA IRAP MVCD4,protein-coding,2q14.1,interleukin 1 receptor antagonist
2367,XP_016861309.1;XP_011510808.1;XP_016861305.1;XP_016861306.1;XP_016861307.1;XP_016861308.1;XP_011510807.1;XP_016861294.1;NP_001091894.1;NP_001277912.1;XP_011510804.1,0,0,0,NM_001098424 NM_001290983 XM_011512502 XM_011512505 XM_011512506 XM_017005805 XM_017005816 XM_017005817 XM_017005818 XM_017005819 XM_017005820,NP_001091894 NP_001277912 XP_011510804 XP_011510807 XP_011510808 XP_016861294 XP_016861305 XP_016861306 XP_016861307 XP_016861308 XP_016861309,1739,DLG1,DLGH1 SAP-97 SAP97 dJ1061C18.1.1 hdlg,protein-coding,3q29,discs large MAGUK scaffold protein 1
2368,XP_006720075.1;NP_009017.1,0,0,0,NM_007086 XM_006720012,NP_009017 XP_006720075,11169,WDHD1,AND-1 AND1 CHTF4 CTF4,protein-coding,14q22.2-q22.3,WD repeat and HMG-box DNA binding protein 1
2369,NP_004747.1;NP_001276909.1;NP_001276908.1,0,0,0,NM_001289979 NM_001289980 NM_004756,NP_001276908 NP_001276909 NP_004747,9253,NUMBL,CAG3A CTG3a NBL NUMB-R NUMBLIKE NUMBR TNRC23,protein-coding,19q13.2,"NUMB like, endocytic adaptor protein"
2370,NP_075392.2,0,0,0,NM_023016,NP_075392,65124,SOWAHC,ANKRD57 C2orf26,protein-coding,2q13,sosondowah ankyrin repeat domain family member C
2371,NP_001269154.1;NP_001269155.1;XP_011544435.1,0,0,0,NM_001282225 NM_001282226 XM_011546133,NP_001269154 NP_001269155 XP_011544435,51816,ADA2,ADGF CECR1 IDGFL PAN SNEDS,protein-coding,22q11.1,adenosine deaminase 2
2372,NP_055486.2;XP_016868307.1,0,0,0,NM_014671 XM_017012818,NP_055486 XP_016868307,9690,UBE3C,HECTH2,protein-coding,7q36.3,ubiquitin protein ligase E3C
2373,NP_938023.1,0,0,0,NM_198282,NP_938023,340061,TMEM173,ERIS MITA MPYS NET23 SAVI STING hMITA hSTING,protein-coding,5q31.2,transmembrane protein 173
2374,NP_001307970.1;NP_057405.1,0,0,0,NM_001321041 NM_016321,NP_001307970 NP_057405,51458,RHCG,C15orf6 PDRC2 RHGK SLC42A3,protein-coding,15q26.1,Rh family C glycoprotein
2375,XP_016868586.1;XP_016868587.1;XP_016868588.1;XP_016868589.1;NP_680090.1;NP_680091.1;NP_680092.1;NP_680093.1;NP_001899.1;XP_006716307.1;XP_006716308.1;XP_011542114.1,0,0,0,NM_001908 NM_147780 NM_147781 NM_147782 NM_147783 XM_006716244 XM_006716245 XM_011543812 XM_017013097 XM_017013098 XM_017013099 XM_017013100,NP_001899 NP_680090 NP_680091 NP_680092 NP_680093 XP_006716307 XP_006716308 XP_011542114 XP_016868586 XP_016868587 XP_016868588 XP_016868589,1508,CTSB,APPS CPSB,protein-coding,8p23.1,cathepsin B
2376,NP_001112.2;NP_063968.1,0,0,0,NM_001121 NM_019903,NP_001112 NP_063968,120,ADD3,ADDL CPSQ3,protein-coding,10q25.1-q25.2,adducin 3
2377,NP_068759.2;NP_001268368.1;XP_011534349.1,0,0,0,NM_001281439 NM_021940 XM_011536047,NP_001268368 NP_068759 XP_011534349,60682,SMAP1,SMAP-1,protein-coding,6q13,small ArfGAP 1
2378,XP_016882255.1;XP_016882256.1;NP_001562.1,0,0,0,NM_001571 XM_017026766 XM_017026767,NP_001562 XP_016882255 XP_016882256,3661,IRF3,IIAE7,protein-coding,19q13.33,interferon regulatory factor 3
2379,NP_775745.1,0,0,0,NM_173474,NP_775745,123803,NTAN1,PNAA PNAD,protein-coding,16p13.11,N-terminal asparagine amidase
2380,NP_004243.1,0,0,0,NM_004252,NP_004243,9368,SLC9A3R1,EBP50 NHERF NHERF-1 NHERF1 NPHLOP2,protein-coding,17q25.1,SLC9A3 regulator 1
2381,XP_016861133.1;NP_009148.2;NP_665858.1;NP_665859.1;XP_005247143.1;XP_005247144.1;XP_005247145.1;XP_006713548.1;XP_011510670.1;XP_011510671.1,0,0,0,NM_007217 NM_145859 NM_145860 XM_005247086 XM_005247087 XM_005247088 XM_006713485 XM_011512368 XM_011512369 XM_017005644,NP_009148 NP_665858 NP_665859 XP_005247143 XP_005247144 XP_005247145 XP_006713548 XP_011510670 XP_011510671 XP_016861133,11235,PDCD10,CCM3 TFAR15,protein-coding,3q26.1,programmed cell death 10
2382,XP_016872264.1;NP_001230711.1;NP_115709.3;NP_001230707.1;NP_001230708.1;NP_001230709.1;XP_011538567.1;XP_011538568.1;NP_001230710.1,0,0,0,NM_001243778 NM_001243779 NM_001243780 NM_001243781 NM_001243782 NM_032333 XM_011540265 XM_011540266 XM_017016775,NP_001230707 NP_001230708 NP_001230709 NP_001230710 NP_001230711 NP_115709 XP_011538567 XP_011538568 XP_016872264,84293,FAM213A,Adrx C10orf58 PAMM,protein-coding,10q23.1,family with sequence similarity 213 member A
2383,NP_001166984.1;NP_443115.1,0,0,0,NM_001173513 NM_052883,NP_001166984 NP_443115,114112,TXNRD3,TGR TR2 TRXR3,protein-coding,3q21.3,thioredoxin reductase 3
2384,REV__XP_016861645.1,0,2,0,---,---,---,---,---,---,---,---
2385,NP_001230882.1,0,0,0,NM_001243953,NP_001230882,3796,KIF2A,CDCBM3 HK2 KIF2,protein-coding,5q12.1,kinesin family member 2A
2386,XP_011541131.1;XP_011541133.1;NP_001184033.1;NP_005924.2,0,0,0,NM_001197104 NM_005933 XM_011542829 XM_011542831,NP_001184033 NP_005924 XP_011541131 XP_011541133,4297,KMT2A,ALL-1 CXXC7 HRX HTRX1 MLL MLL1 MLL1A TRX1 WDSTS,protein-coding,11q23.3,lysine methyltransferase 2A
2387,XP_016881816.1;XP_016881817.1;XP_016881818.1;NP_689689.2;XP_011525998.1;XP_011525999.1;XP_016881819.1,0,0,0,NM_152476 XM_011527696 XM_011527697 XM_017026327 XM_017026328 XM_017026329 XM_017026330,NP_689689 XP_011525998 XP_011525999 XP_016881816 XP_016881817 XP_016881818 XP_016881819,147741,ZNF560,---,protein-coding,19p13.2,zinc finger protein 560
2388,NP_000156.1,0,0,0,NM_000165,NP_000156,2697,GJA1,AVSD3 CMDR CX43 EKVP GJAL HLHS1 HSS ODDD PPKCA,protein-coding,6q22.31,gap junction protein alpha 1
2389,NP_005608.1;NP_001020241.1;NP_001020242.1,0,0,0,NM_001025070 NM_001025071 NM_005617,NP_001020241 NP_001020242 NP_005608,6208,RPS14,EMTB S14,protein-coding,5q33.1,ribosomal protein S14
2390,NP_006001.4,0,0,0,NM_006010,NP_006001,7873,MANF,ARMET ARP,protein-coding,3p21.2,mesencephalic astrocyte derived neurotrophic factor
2391,XP_011536837.1;XP_016875048.1;XP_011536836.1,0,0,0,XM_011538534 XM_011538535 XM_017019559,XP_011536836 XP_011536837 XP_016875048,55206,SBNO1,MOP3 Sno,protein-coding,12q24.31,strawberry notch homolog 1
2392,NP_683723.2,0,0,0,NM_148921,NP_683723,22905,EPN2,EHB21,protein-coding,17p11.2,epsin 2
2393,NP_689481.2,0,0,0,NM_152268,NP_689481,25973,PARS2,MT-PRORS proRS,protein-coding,1p32.3,"prolyl-tRNA synthetase 2, mitochondrial (putative)"
2394,NP_001288661.1;NP_004704.2,0,0,0,NM_001301732 NM_004713,NP_001288661 NP_004704,9147,NEMF,NY-CO-1 SDCCAG1,protein-coding,14q21.3,nuclear export mediator factor
2395,XP_016871433.1;XP_016871431.1;XP_016871432.1;NP_036379.2,0,0,0,NM_012247 XM_017015942 XM_017015943 XM_017015944,NP_036379 XP_016871431 XP_016871432 XP_016871433,22929,SEPHS1,SELD SPS SPS1,protein-coding,10p13,selenophosphate synthetase 1
2396,NP_009215.1,0,0,0,NM_007284,NP_009215,11344,TWF2,A6RP A6r MSTP011 PTK9L,protein-coding,3p21.2,twinfilin actin binding protein 2
2397,NP_061916.3;XP_006717514.1,0,0,0,NM_019043 XM_006717451,NP_061916 XP_006717514,54518,APBB1IP,INAG1 PREL1 RARP1 RIAM,protein-coding,10p12.1,amyloid beta precursor protein binding family B member 1 interacting protein
2398,NP_002626.1;NP_998776.1,0,0,0,NM_002635 NM_213611,NP_002626 NP_998776,5250,SLC25A3,OK/SW-cl.48 PHC PTP,protein-coding,12q23.1,solute carrier family 25 member 3
2399,NP_060197.4;NP_001077059.1,0,0,0,NM_001083590 NM_017727,NP_001077059 NP_060197,54867,TMEM214,---,protein-coding,2p23.3,transmembrane protein 214
2400,NP_001123537.1,0,0,0,NM_001130065,NP_001123537,4650,MYO9B,CELIAC4 MYR5,protein-coding,19p13.11,myosin IXB
2401,NP_006283.1,0,0,0,NM_006292,NP_006283,7251,TSG101,TSG10 VPS23,protein-coding,11p15.1,tumor susceptibility 101
2402,NP_005841.1,0,0,0,NM_005850,NP_005841,10262,SF3B4,AFD1 Hsh49 SAP49 SF3b49,protein-coding,1q21.2,splicing factor 3b subunit 4
2403,NP_037468.1,0,0,0,NM_013336,NP_037468,29927,SEC61A1,HNFJ4 HSEC61 SEC61 SEC61A,protein-coding,3q21.3,Sec61 translocon alpha 1 subunit
2404,NP_060024.2,0,0,0,NM_017554,NP_060024,54625,PARP14,ARTD8 BAL2 PARP-14 pART8,protein-coding,3q21.1,poly(ADP-ribose) polymerase family member 14
2405,NP_001316.1;NP_001293138.1,0,0,0,NM_001306209 NM_001325,NP_001293138 NP_001316,1478,CSTF2,CstF-64,protein-coding,Xq22.1,cleavage stimulation factor subunit 2
2406,XP_016879392.1,0,0,0,XM_017023903,XP_016879392,9665,KIAA0430,LKAP LMKB MARF1 PPP1R34,protein-coding,16p13.11,KIAA0430
2407,NP_001121631.1,0,0,0,NM_001128159,NP_001121631,55275,VPS53,HCCS1 PCH2E hVps53L pp13624,protein-coding,17p13.3,"VPS53, GARP complex subunit"
2408,NP_001121362.1;XP_016877786.1;XP_016877787.1;NP_001121361.1;XP_005254494.1;NP_057714.1,0,0,0,NM_001127889 NM_001127890 NM_016630 XM_005254437 XM_017022297 XM_017022298,NP_001121361 NP_001121362 NP_057714 XP_005254494 XP_016877786 XP_016877787,51324,SPG21,ACP33 BM-019 GL010 MAST,protein-coding,15q22.31,"SPG21, maspardin"
2409,NP_005779.1,0,0,0,NM_005788,NP_005779,10196,PRMT3,HRMT1L3,protein-coding,11p15.1,protein arginine methyltransferase 3
2410,NP_003891.1,0,0,0,NM_003900,NP_003891,8878,SQSTM1,A170 DMRV FTDALS3 NADGP OSIL PDB3 ZIP3 p60 p62 p62B,protein-coding,5q35.3,sequestosome 1
2411,NP_001883.4;NP_001020276.1,0,0,0,NM_001025105 NM_001892,NP_001020276 NP_001883,1452,CSNK1A1,CK1 CK1a CKIa HEL-S-77p HLCDGP1 PRO2975,protein-coding,5q32,casein kinase 1 alpha 1
2413,NP_872585.1,0,0,0,NM_182644,NP_872585,2042,EPHA3,EK4 ETK ETK1 HEK HEK4 TYRO4,protein-coding,3p11.1,EPH receptor A3
2414,REV__XP_016864017.1,0,2,0,---,---,---,---,---,---,---,---
2415,NP_056536.2;XP_016880198.1;XP_005256724.1;XP_011522212.1;XP_011522213.1;XP_005256727.1;XP_011522214.1;XP_011522215.1,0,0,0,NM_015721 XM_005256667 XM_005256670 XM_011523910 XM_011523911 XM_011523912 XM_011523913 XM_017024709,NP_056536 XP_005256724 XP_005256727 XP_011522212 XP_011522213 XP_011522214 XP_011522215 XP_016880198,50628,GEMIN4,HC56 HCAP1 HHRF-1 p97,protein-coding,17p13.3,gem nuclear organelle associated protein 4
2416,NP_055144.3,0,0,0,NM_014329,NP_055144,23644,EDC4,GE1 Ge-1 HEDL5 HEDLS RCD-8 RCD8,protein-coding,16q22.1,enhancer of mRNA decapping 4
2417,NP_006218.1,0,0,0,NM_006227,NP_006218,5360,PLTP,BPIFE HDLCQ9,protein-coding,20q13.12,phospholipid transfer protein
2418,XP_016879833.1;XP_011522805.1,0,0,0,XM_011524503 XM_017024344,XP_011522805 XP_016879833,201292,TRIM65,4732463G12Rik,protein-coding,17q25.1,tripartite motif containing 65
2419,NP_954673.1,0,0,0,NM_199203,NP_954673,387522,TMEM189-UBE2V1,CROC-1B CROC1B KUA-UEV,protein-coding,20q13.13,TMEM189-UBE2V1 readthrough
2420,NP_683877.1;NP_002777.1,0,0,0,NM_002786 NM_148976,NP_002777 NP_683877,5682,PSMA1,HC2 HEL-S-275 NU PROS30,protein-coding,11p15.2,proteasome subunit alpha 1
2421,XP_016855544.1,0,0,0,XM_017000055,XP_016855544,10451,VAV3,---,protein-coding,1p13.3,vav guanine nucleotide exchange factor 3
2422,NP_004636.1,0,0,0,NM_004645,NP_004636,8161,COIL,CLN80 p80-coilin,protein-coding,17q22,coilin
2423,NP_055524.3,0,0,0,NM_014709,NP_055524,9736,USP34,---,protein-coding,2p15,ubiquitin specific peptidase 34
2424,XP_011539026.1,0,0,0,XM_011540724,XP_011539026,1307,COL16A1,447AA FP1572,protein-coding,1p35.2,collagen type XVI alpha 1 chain
2425,NP_057444.2,0,0,0,NM_016360,NP_057444,51204,TACO1,CCDC44,protein-coding,17q23.3,translational activator of cytochrome c oxidase I
2426,XP_011540166.1;XP_016857412.1;XP_011540167.1;NP_001071168.2;XP_016857408.1;XP_016857409.1;XP_016857416.1;XP_016857417.1;XP_016857410.1;XP_016857411.1;XP_016857413.1;XP_016857414.1;XP_016857415.1;NP_065999.2;NP_001139582.1;XP_005271133.1;NP_001071169.1;XP_016857418.1;XP_016857419.1;XP_016857420.1;NP_001139584.1;XP_016857421.1;XP_016857422.1;XP_016857423.1,0,0,0,NM_001077700 NM_001077701 NM_001146110 NM_001146112 NM_020948 XM_005271076 XM_011541864 XM_011541865 XM_017001919 XM_017001920 XM_017001921 XM_017001922 XM_017001923 XM_017001924 XM_017001925 XM_017001926 XM_017001927 XM_017001928 XM_017001929 XM_017001930 XM_017001931 XM_017001932 XM_017001933 XM_017001934,NP_001071168 NP_001071169 NP_001139582 NP_001139584 NP_065999 XP_005271133 XP_011540166 XP_011540167 XP_016857408 XP_016857409 XP_016857410 XP_016857411 XP_016857412 XP_016857413 XP_016857414 XP_016857415 XP_016857416 XP_016857417 XP_016857418 XP_016857419 XP_016857420 XP_016857421 XP_016857422 XP_016857423,57708,MIER1,ER1 MI-ER1,protein-coding,1p31.3,MIER1 transcriptional regulator
2427,REV__NP_003889.1,0,2,0,---,---,---,---,---,---,---,---
2428,XP_016862887.1;XP_016862889.1;XP_016862886.1;NP_001308728.1;NP_001308725.1;XP_016862888.1,0,0,0,NM_001321796 NM_001321799 XM_017007397 XM_017007398 XM_017007399 XM_017007400,NP_001308725 NP_001308728 XP_016862886 XP_016862887 XP_016862888 XP_016862889,868,CBLB,Cbl-b Nbla00127 RNF56,protein-coding,3q13.11,Cbl proto-oncogene B
2429,NP_001263408.1;NP_004784.2,0,0,0,NM_001276479 NM_004793,NP_001263408 NP_004784,9361,LONP1,CODASS LON LONP LonHS PIM1 PRSS15 hLON,protein-coding,19p13.3,"lon peptidase 1, mitochondrial"
2430,NP_001307440.1;NP_001307441.1;XP_016861824.1;XP_016861825.1;XP_016861826.1;XP_016861827.1;NP_835471.1;XP_011511092.1;XP_011511093.1,0,0,0,NM_001320511 NM_001320512 NM_178177 XM_011512790 XM_011512791 XM_017006335 XM_017006336 XM_017006337 XM_017006338,NP_001307440 NP_001307441 NP_835471 XP_011511092 XP_011511093 XP_016861824 XP_016861825 XP_016861826 XP_016861827,349565,NMNAT3,FKSG76 PNAT-3 PNAT3,protein-coding,3q23,nicotinamide nucleotide adenylyltransferase 3
2431,NP_001243054.2;NP_003456.1,0,0,0,NM_001256125 NM_003465,NP_001243054 NP_003456,1118,CHIT1,CHI3 CHIT CHITD,protein-coding,1q32.1,chitinase 1
2432,NP_000217.2,0,0,0,NM_000226,NP_000217,3857,KRT9,CK-9 EPPK K9,protein-coding,17q21.2,keratin 9
2433,NP_061167.1,0,0,0,NM_018697,NP_061167,55915,LANCL2,GPR69B TASP,protein-coding,7p11.2,LanC like 2
2434,NP_060962.2;XP_006716431.1,0,0,0,NM_018492 XM_006716368,NP_060962 XP_006716431,55872,PBK,CT84 HEL164 Nori-3 SPK TOPK,protein-coding,8p21.1,PDZ binding kinase
2435,REV__XP_016857106.1,0,2,0,---,---,---,---,---,---,---,---
2436,XP_011538900.1,0,0,0,XM_011540598,XP_011538900,114827,FHAD1,---,protein-coding,1p36.21,forkhead associated phosphopeptide binding domain 1
2437,REV__NP_001010906.1,0,2,0,---,---,---,---,---,---,---,---
2438,REV__XP_016865074.1,0,2,0,---,---,---,---,---,---,---,---
2439,XP_016874220.1;XP_016874219.1;XP_006719025.1;XP_016874217.1;XP_016874216.1;XP_006719023.1;NP_001264.2;XP_016874215.1;XP_016874214.1;XP_006719022.1;XP_006719021.1,0,0,0,NM_001273 XM_006718958 XM_006718959 XM_006718960 XM_006718962 XM_017018725 XM_017018726 XM_017018727 XM_017018728 XM_017018730 XM_017018731,NP_001264 XP_006719021 XP_006719022 XP_006719023 XP_006719025 XP_016874214 XP_016874215 XP_016874216 XP_016874217 XP_016874219 XP_016874220,1108,CHD4,CHD-4 Mi-2b Mi2-BETA SIHIWES,protein-coding,12p13.31,chromodomain helicase DNA binding protein 4
